id,preview,energy,valence
4St5tcazwSomaUQDw6LHJf,https://p.scdn.co/mp3-preview/9cd2999f4013431dde351320607717ab41dc1fd9?cid=7b94cea739b042da8b24219ff35b9915,0.569,0.243
464T4CGPWvjWTLPLx9qUtS,https://p.scdn.co/mp3-preview/198be354f86cb3bf401100be703e16294ecf8ce2?cid=7b94cea739b042da8b24219ff35b9915,0.611,0.962
4We31xWtplX3vxIrA5T3I0,https://p.scdn.co/mp3-preview/a25606f7c5b01c9d48f59f2e61c71db5a478b0a1?cid=7b94cea739b042da8b24219ff35b9915,0.201,0.0746
2vM4s428MEJF0eBRrwboan,https://p.scdn.co/mp3-preview/27fc756e777d064c01c76673f9d059f6820d138c?cid=7b94cea739b042da8b24219ff35b9915,0.716,0.134
0VVpRg43mytOxvsslguPO7,https://p.scdn.co/mp3-preview/64994ee58f52c054070309dda6039d2cdb94c477?cid=7b94cea739b042da8b24219ff35b9915,0.684,0.573
1VUcEWJIOPz6f8vrzM5aWo,https://p.scdn.co/mp3-preview/96599ec9e1cd79b39b79cb51147d64908d673a4b?cid=7b94cea739b042da8b24219ff35b9915,0.827,0.524
7H88mgMUAW4whBr2PkZm4p,https://p.scdn.co/mp3-preview/c223941e3155b98ba7adbfb2f5d7496cd771e9df?cid=7b94cea739b042da8b24219ff35b9915,0.668,0.687
6z6SCFTanvDc9NLcN5dATy,https://p.scdn.co/mp3-preview/9653fc460156565a1d325e4decbf2bb2f322a6a0?cid=7b94cea739b042da8b24219ff35b9915,0.816,0.76
3n4s8Wcb4qmFpBM5yv9FTJ,https://p.scdn.co/mp3-preview/95b6053f9445a67326b8f371efdd51c267d08f9b?cid=7b94cea739b042da8b24219ff35b9915,0.653,0.688
5SSOBz0RcEzKqP9YutVq8L,https://p.scdn.co/mp3-preview/fdaebcafdbf23ad2c6f4d61d858ca8dd8e08da35?cid=7b94cea739b042da8b24219ff35b9915,0.435,0.407
78qd8dvwea0Gosb6Fe6j3k,https://p.scdn.co/mp3-preview/42847ffa3c83fcfce624d09a8d3d39a15d53e199?cid=7b94cea739b042da8b24219ff35b9915,0.955,0.575
4BWvnXjIC4v4QnYYEttEGB,https://p.scdn.co/mp3-preview/94b051a880b6b13c1dcd7953795bd154020ef6d5?cid=7b94cea739b042da8b24219ff35b9915,0.386,0.763
50XuBmcV8THyLBczxD0c2k,https://p.scdn.co/mp3-preview/328a3f22d73068760de085b5422fe584593fc33d?cid=7b94cea739b042da8b24219ff35b9915,0.976,0.516
1Jqn6ORmXdtSaSiMFxuRyf,https://p.scdn.co/mp3-preview/f67579024460d440bb320c5dd1ba1379e9c26610?cid=7b94cea739b042da8b24219ff35b9915,0.453,0.411
6XmQmv6zcM1HewkfLGyFez,https://p.scdn.co/mp3-preview/06e12c30880e280a2d2d375f255d3b1d3421b0cd?cid=7b94cea739b042da8b24219ff35b9915,0.757,0.806
2SJmXLUDretCde0CHxNFmp,https://p.scdn.co/mp3-preview/bd39dc2ad2667d9527482a63a71dc4d2b513b877?cid=7b94cea739b042da8b24219ff35b9915,0.509,0.204
30mWjbK3HiLd8N4IHBCmzE,https://p.scdn.co/mp3-preview/b4e41ca29b812292494f4e546a1e8ebbe597f01e?cid=7b94cea739b042da8b24219ff35b9915,0.423,0.165
4D0IrASJbQi2xLXBYywfCQ,https://p.scdn.co/mp3-preview/5686b565fd597fe953998d73491ea0b75c543166?cid=7b94cea739b042da8b24219ff35b9915,0.851,0.405
2fICdpdRotwfmGYzvs8Ngf,https://p.scdn.co/mp3-preview/119b9a46e33446278d022fe2e59918a30cb80558?cid=7b94cea739b042da8b24219ff35b9915,0.873,0.684
7sEyHI1x4nJp7KYhocD47c,https://p.scdn.co/mp3-preview/730d545d3951ec85875cc4fa08cdc6aa215e6dd5?cid=7b94cea739b042da8b24219ff35b9915,0.648,0.801
33a3TTVWl77s8opt958pNE,https://p.scdn.co/mp3-preview/36d41a0ed45682583d4a2d50c5cd38859fe5e50b?cid=7b94cea739b042da8b24219ff35b9915,0.915,0.732
0wJoRiX5K5BxlqZTolB2LD,https://p.scdn.co/mp3-preview/03bc9eb9c20f832c8341a3db4173d7036d93156e?cid=7b94cea739b042da8b24219ff35b9915,0.905,0.486
2XGBUsBnL76hPmz8yPiyiH,https://p.scdn.co/mp3-preview/055ef3d6578f4cb772a10d108819df924eb6e4c6?cid=7b94cea739b042da8b24219ff35b9915,0.949,0.789
3sgZOrSxxlg0Hm0nosRZ9D,https://p.scdn.co/mp3-preview/cf4002b1becfede0d6594b1659aa64d266235595?cid=7b94cea739b042da8b24219ff35b9915,0.675,0.153
2b7Y7Ui2dAWFF1qkDLAnGl,https://p.scdn.co/mp3-preview/307cd7e6e1050e19c33e1a21239f94faeeb634f2?cid=7b94cea739b042da8b24219ff35b9915,0.981,0.742
2h9NDsOdct4jt4ayzyS0FJ,https://p.scdn.co/mp3-preview/ef54fb102d18c5bfbfee74be7a7bb30088304196?cid=7b94cea739b042da8b24219ff35b9915,0.61,0.541
5h4IOYGn64ZmuSP9zrEgCP,https://p.scdn.co/mp3-preview/c4ccbe826681cfa5b357748675acbd022d14d1fc?cid=7b94cea739b042da8b24219ff35b9915,0.62,0.229
3QA2QStP1vusoJE3kxop3y,https://p.scdn.co/mp3-preview/819b47b5a1397de8a54c0f86dc23e2d833d151e7?cid=7b94cea739b042da8b24219ff35b9915,0.77,0.492
7d02nusGBLNqtLiiRFVOch,https://p.scdn.co/mp3-preview/c63604a858867f7d7dbebf5ea351e69535289401?cid=7b94cea739b042da8b24219ff35b9915,0.67,0.0996
